month_number,years,year_number,month_in_year,monthly_rent,cumulative_rent,cumulative_buying_costs,monthly_payment,monthly_interest,cumulative_principal_remaining,cumulative_equity,cumulative_payment,cumulative_interest,house_value,cumulative_appreciation,cumulative_depreceation,house_value_yearly,monthly_utilities,cumulative_utilities,monthly_property_tax,cumulative_property_tax,monthly_maintenance,cumulative_maintenance,cumulative_selling_costs
1,0.08333333333333333,1,1,1502.4773719528803,1502.4773719528803,8000,1110.721078865162,791.6666666666666,189680.94558780149,10319.054412198515,1110.721078865162,791.6666666666666,2e5,0,-0,2e5,510,510,833.3333333333334,833.3333333333334,510,510,1e4
2,0.16666666666666666,1,2,1504.9588354869559,3007.436207439836,8000,1110.721078865162,790.3372732825062,189360.5617822188,10639.438217781193,2221.442157730324,1582.003939949173,2e5,0,-0,2e5,510,1020,833.3333333333334,1666.6666666666667,510,1020,1e4
3,0.25,1,3,1507.4443973598056,4514.880604799642,8000,1110.721078865162,789.002340759245,189038.84304411287,10961.156955887127,3332.1632365954865,2371.0062807084178,2e5,0,-0,2e5,510,1530,833.3333333333334,2500,510,1530,1e4
4,0.3333333333333333,1,4,1509.9340643401695,6024.8146691398115,8000,1110.721078865162,787.661846017137,188715.78381126485,11284.216188735154,4442.884315460648,3158.668126725555,2e5,0,-0,2e5,510,2040,833.3333333333334,3333.3333333333335,510,2040,1e4
5,0.4166666666666667,1,5,1512.427843207966,7537.242512347777,8000,1110.721078865162,786.3157658802702,188391.37849827996,11608.621501720045,5553.60539432581,3944.983892605825,2e5,0,-0,2e5,510,2550,833.3333333333334,4166.666666666667,510,2550,1e4
6,0.5,1,6,1514.9257407543118,9052.168253102089,8000,1110.721078865162,784.9640770761665,188065.62149649096,11934.37850350904,6664.326473190973,4729.947969681992,2e5,0,-0,2e5,510,3060,833.3333333333334,5e3,510,3060,1e4
7,0.5833333333333334,1,7,1517.4277637815392,10569.596016883628,8000,1110.721078865162,783.606756235379,187738.50717386117,12261.492826138827,7775.047552056135,5513.554725917371,2e5,0,-0,2e5,510,3570,833.3333333333334,5833.333333333334,510,3570,1e4
8,0.6666666666666666,1,8,1519.9339191032152,12089.529935986844,8000,1110.721078865162,782.2437798910883,187410.02987488708,12589.970125112915,8885.768630921297,6295.798505808459,2e5,0,-0,2e5,510,4080,833.3333333333334,6666.666666666667,510,4080,1e4
9,0.75,1,9,1522.4442135441604,13611.974149531005,8000,1110.721078865162,780.8751244786962,187080.1839205006,12919.816079499404,9996.48970978646,7076.673630287155,2e5,0,-0,2e5,510,4590,833.3333333333334,7500,510,4590,1e4
10,0.8333333333333334,1,10,1524.9586539404665,15136.93280347147,8000,1110.721078865162,779.5007663354191,186748.96360797086,13251.036392029142,11107.21078865162,7856.174396622574,2e5,0,-0,2e5,510,5100,833.3333333333334,8333.333333333334,510,5100,1e4
